sample_id	domain	partition	free_ratio_units	weight	unrestricted_safe	normal_sufficient	strongest_required
1	ram	training	0	1	0	0	1
2	ram	training	999	1	0	0	1
3	ram	training	1000	1	0	0	0
4	ram	training	2999	1	0	0	0
5	ram	training	3000	1	0	1	0
6	ram	training	5999	1	0	1	0
7	ram	training	6000	1	1	1	0
8	ram	training	10000	1	1	1	0
9	ram	validation	0	1	0	0	1
10	ram	validation	999	1	0	0	1
11	ram	validation	1000	1	0	0	0
12	ram	validation	2999	1	0	0	0
13	ram	validation	3000	1	0	1	0
14	ram	validation	5999	1	0	1	0
15	ram	validation	6000	1	1	1	0
16	ram	validation	10000	1	1	1	0
